	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_10_0.txt	10	0	10.0	10.0	10.0	8.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	9.0	10.0	10.0	10.0	9.0	10.0	9.0	8.0
alpha_rarefaction_10_1.txt	10	1	9.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	8.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	10.0	10.0	10.0
alpha_rarefaction_10_2.txt	10	2	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	6.0	10.0	9.0
alpha_rarefaction_10_3.txt	10	3	9.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0
alpha_rarefaction_10_4.txt	10	4	10.0	9.0	10.0	9.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.0	10.0	9.0	10.0	10.0	10.0
alpha_rarefaction_10_5.txt	10	5	10.0	10.0	9.0	10.0	10.0	10.0	9.0	8.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_6.txt	10	6	10.0	10.0	10.0	7.0	10.0	10.0	9.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	8.0	10.0	10.0
alpha_rarefaction_10_7.txt	10	7	10.0	9.0	9.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_8.txt	10	8	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_9.txt	10	9	9.0	10.0	8.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0
alpha_rarefaction_10399_0.txt	10399	0	1496.0	1641.0	1562.0	1676.0	1732.0	1557.0	1441.0	1570.0	1826.0	1689.0	1716.0	1583.0	1738.0	1630.0	1565.0	1750.0	1763.0	1795.0	1691.0	1618.0	1917.0	1704.0	1599.0	1759.0	1446.0	1416.0	1538.0
alpha_rarefaction_10399_1.txt	10399	1	1493.0	1665.0	1542.0	1675.0	1709.0	1588.0	1458.0	1600.0	1801.0	1707.0	1718.0	1560.0	1700.0	1686.0	1530.0	1702.0	1734.0	1847.0	1697.0	1625.0	1884.0	1680.0	1630.0	1794.0	1492.0	1412.0	1473.0
alpha_rarefaction_10399_2.txt	10399	2	1516.0	1679.0	1570.0	1701.0	1692.0	1581.0	1492.0	1599.0	1803.0	1711.0	1671.0	1578.0	1757.0	1676.0	1529.0	1718.0	1752.0	1865.0	1710.0	1593.0	1902.0	1681.0	1657.0	1731.0	1464.0	1403.0	1469.0
alpha_rarefaction_10399_3.txt	10399	3	1476.0	1703.0	1582.0	1655.0	1739.0	1545.0	1486.0	1599.0	1834.0	1679.0	1732.0	1538.0	1737.0	1662.0	1511.0	1729.0	1822.0	1804.0	1698.0	1592.0	1909.0	1622.0	1643.0	1716.0	1454.0	1426.0	1552.0
alpha_rarefaction_10399_4.txt	10399	4	1456.0	1730.0	1581.0	1697.0	1726.0	1563.0	1412.0	1616.0	1827.0	1671.0	1726.0	1544.0	1735.0	1683.0	1553.0	1707.0	1769.0	1836.0	1707.0	1609.0	1907.0	1672.0	1614.0	1767.0	1466.0	1433.0	1503.0
alpha_rarefaction_10399_5.txt	10399	5	1481.0	1677.0	1550.0	1683.0	1690.0	1575.0	1439.0	1606.0	1808.0	1680.0	1703.0	1537.0	1770.0	1681.0	1515.0	1698.0	1784.0	1814.0	1698.0	1586.0	1935.0	1673.0	1639.0	1745.0	1449.0	1415.0	1478.0
